rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,La Osteria Landshut,84028,"Altstadt 195A, 84028 Landshut",4.5,1741,151–200,151,200,175.5,9.16,4.179,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/La+Osteria+Landshut/data=!4m7!3m6!1s0x479e267140a53765:0x78028d8fab7abe70!8m2!3d48.5335279!4d12.1511!16s%2Fg%2F12vs59pz8!19sChIJZTelQHEmnkcRcL56q4-NAng?authuser=0&hl=de&rclk=1
2,Grillpoint 36,84028,"Oberndorferstraße 24b, 84032 Landshut",4.8,1105,101–150,101,150,125.5,10.2,4.412,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Grillpoint+36/data=!4m7!3m6!1s0x479e25eee7d8999d:0x5dfc4c09c677d936!8m2!3d48.5474117!4d12.1295426!16s%2Fg%2F11hb3t6lg5!19sChIJnZnY5-4lnkcRNtl3xglM_F0?authuser=0&hl=de&rclk=1
3,ATU Landshut,84137,"Industriestraße 41, 84030 Ergolding",3.7,820,101–150,101,150,125.5,13.27,3.342,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/ATU+Landshut/data=!4m7!3m6!1s0x479e2601b0e28c9b:0x46bdfcd681e7fb0b!8m2!3d48.557212!4d12.156084!16s%2Fg%2F1tg392f8!19sChIJm4zisAEmnkcRC_vngdb8vUY?authuser=0&hl=de&rclk=1
4,Zum G'sellnhaus,84144,"Pfarrbrückenweg 1, 84137 Vilsbiburg",4.7,609,51–100,51,100,75.5,11.03,4.292,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zum+G%27sellnhaus/data=!4m7!3m6!1s0x47758c2426d12015:0xc34758e91bb3bcf0!8m2!3d48.4512504!4d12.3579024!16s%2Fg%2F11df7p7jn6!19sChIJFSDRJiSMdUcR8LyzG-lYR8M?authuser=0&hl=de&rclk=1
5,Café Aran Kronprinz,84028,"Altstadt 29, 84028 Landshut",4.7,519,51–100,51,100,75.5,12.7,4.23,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9+Aran+Kronprinz/data=!4m7!3m6!1s0x479e26715afaaeaf:0xc70e85fcd0f6e1e6!8m2!3d48.5341667!4d12.1502778!16s%2Fg%2F1vlz9bqc!19sChIJr676WnEmnkcR5uH20PyFDsc?authuser=0&hl=de&rclk=1
6,Himmel-Landshut GmbH,84028,"Isargestade 734, 84028 Landshut",4.7,485,51–100,51,100,75.5,13.47,4.202,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Himmel-Landshut+GmbH/data=!4m7!3m6!1s0x479e260cafb38e15:0x653f12ce9cff213f!8m2!3d48.5399457!4d12.1524953!16s%2Fg%2F1wbrws61!19sChIJFY6zrwwmnkcRPyH_nM4SP2U?authuser=0&hl=de&rclk=1
7,Gasthaus zum Freischütz,84028,"Neustadt 446, 84028 Landshut",4.7,441,51–100,51,100,75.5,14.62,4.159,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gasthaus+zum+Freisch%C3%BCtz/data=!4m7!3m6!1s0x479e2672fd4ad0d1:0x8c11a0eef3b3e0c7!8m2!3d48.53738!4d12.15414!16s%2Fg%2F11bwf79xt3!19sChIJ0dBK_XImnkcRx-Cz8-6gEYw?authuser=0&hl=de&rclk=1
8,Barbara-Apotheke / CannabisFürMich,84028,"Fliederstraße 46, 84032 Landshut",4.6,259,51–100,51,100,75.5,22.57,3.787,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Barbara-Apotheke+%2F+CannabisF%C3%BCrMich/data=!4m7!3m6!1s0x479e25ee0c0ce41d:0x7c5de98ca6c7ee9c!8m2!3d48.5507458!4d12.1300396!16s%2Fg%2F1tdmjgjk!19sChIJHeQMDO4lnkcRnO7HpozpXXw?authuser=0&hl=de&rclk=1
9,Hotel Nummerhof,84144,"Waldstraße 2, 85435 Erding",4.8,865,21–50,21,50,35.5,3.94,4.65,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hotel+Nummerhof/data=!4m10!3m9!1s0x479e103bff1276f3:0xe7be6eca072de39d!5m2!4m1!1i2!8m2!3d48.278231!4d11.892074!16s%2Fg%2F1vysvj8t!19sChIJ83YS_zsQnkcRneMtB8puvuc?authuser=0&hl=de&rclk=1
10,burgerme Landshut,84028,"Altdorfer Str. 32, 84030 Landshut",4.8,330,21–50,21,50,35.5,9.71,4.431,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/burgerme+Landshut/data=!4m7!3m6!1s0x479e2fcd1e8d19df:0x56ae9ceeb36cfbb6!8m2!3d48.55545!4d12.13777!16s%2Fg%2F11ty14spv0!19sChIJ3xmNHs0vnkcRtvtss-6crlY?authuser=0&hl=de&rclk=1
