id,name,postcode,address,rating,reviewCount,category,lat,lng,bezirkId,bezirkName,hasDefamationNotice,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url,readAt,placeState,status,error
0x479e27deefc81dad:0xf6b8faaffba5285d,"""Karls Leberkas""",84028,,4.7,155,Imbiss,48.5354694,12.1500475,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/%22Karls+Leberkas%22/data=!4m7!3m6!1s0x479e27deefc81dad:0xf6b8faaffba5285d!8m2!3d48.5354694!4d12.1500475!16s%2Fg%2F11fk46fjv5!19sChIJrR3I794nnkcRXSil-6_6uPY?authuser=0&hl=de&rclk=1,2026-05-13T20:14:35Z,active,success,
0x479e27ee8d98c4d7:0x4887ba8abcf3c9a1,01 Adana Kebap,84028,,4,65,Döner / Kebab,48.5462733,12.1530032,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/01+Adana+Kebap/data=!4m7!3m6!1s0x479e27ee8d98c4d7:0x4887ba8abcf3c9a1!8m2!3d48.5462733!4d12.1530032!16s%2Fg%2F11rrh9_9cx!19sChIJ18SYje4nnkcRocnzvIq6h0g?authuser=0&hl=de&rclk=1,2026-05-13T20:15:33Z,active,success,
0x479e27c658ae884f:0xf790d4ea916d1b10,1855 Retro,84028,,4.9,147,Restaurant,48.5393435,12.1559225,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/1855+Retro/data=!4m7!3m6!1s0x479e27c658ae884f:0xf790d4ea916d1b10!8m2!3d48.5393435!4d12.1559225!16s%2Fg%2F11ghn7327p!19sChIJT4iuWMYnnkcREBttkerUkPc?authuser=0&hl=de&rclk=1,2026-05-13T20:07:33Z,active,success,
0x479e2672caf940d1:0x88278ebcc3444a79,35 milli(m)eter Landshut,84028,,3.6,1373,Restaurant,48.5394067,12.1565314,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/35+milli%28m%29eter+Landshut/data=!4m7!3m6!1s0x479e2672caf940d1:0x88278ebcc3444a79!8m2!3d48.5394067!4d12.1565314!16s%2Fg%2F1tlkbc8r!19sChIJ0UD5ynImnkcReUpEw7yOJ4g?authuser=0&hl=de&rclk=1,2026-05-13T20:07:58Z,active,success,
0x479e26735a1546bf:0x75b3e67d0e1ec6ed,Aladin's Kebap,84028,,4.7,424,Döner / Kebab,48.5459991,12.1799181,39,Gewerbepark Nürnberg-Feucht,true,11,20,15.5,3.53,4.57,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aladin%27s+Kebap/data=!4m7!3m6!1s0x479e26735a1546bf:0x75b3e67d0e1ec6ed!8m2!3d48.5459991!4d12.1799181!16s%2Fg%2F1v5k1_cq!19sChIJv0YVWnMmnkcR7cYeDn3ms3U?authuser=0&hl=de&rclk=1,2026-05-13T20:17:32Z,active,success,
0x479e25f08f7a38ef:0x121d635730bfcd03,Ali Baba - Döner Imbiss,84028,,4.8,609,Döner / Kebab,48.5543199,12.1368472,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Ali+Baba+-+D%C3%B6ner+Imbiss/data=!4m7!3m6!1s0x479e25f08f7a38ef:0x121d635730bfcd03!8m2!3d48.5543199!4d12.1368472!16s%2Fg%2F11bzzw01bt!19sChIJ7zh6j_AlnkcRA82_MFdjHRI?authuser=0&hl=de&rclk=1,2026-05-13T20:14:27Z,active,success,
0x479e2670d67d7dcb:0x4f912060e53355c6,Altstadt Sushi,84028,,3.9,120,Sushi,48.5321091,12.148853,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Altstadt+Sushi/data=!4m7!3m6!1s0x479e2670d67d7dcb:0x4f912060e53355c6!8m2!3d48.5321091!4d12.148853!16s%2Fg%2F1tdz8dph!19sChIJy3191nAmnkcRxlUz5WAgkU8?authuser=0&hl=de&rclk=1,2026-05-13T20:22:44Z,active,success,
0x479e279959809e91:0x5314526b9420925b,Amiri Restaurant,84028,,4.8,196,Restaurant,48.5383173,12.1543931,39,Gewerbepark Nürnberg-Feucht,true,2,5,3.5,1.75,4.733,Zwei bis fünf Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Amiri+Restaurant/data=!4m7!3m6!1s0x479e279959809e91:0x5314526b9420925b!8m2!3d48.5383173!4d12.1543931!16s%2Fg%2F11x5sfmrwy!19sChIJkZ6AWZknnkcRW5IglGtSFFM?authuser=0&hl=de&rclk=1,2026-05-13T20:00:23Z,active,success,
0x479e27df4d367433:0x74d3bdfadec065ca,An Lac Chay,84028,,4.5,145,Restaurant,48.5354183,12.1498785,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/An+Lac+Chay/data=!4m7!3m6!1s0x479e27df4d367433:0x74d3bdfadec065ca!8m2!3d48.5354183!4d12.1498785!16s%2Fg%2F11l61x9902!19sChIJM3Q2Td8nnkcRymXA3vq903Q?authuser=0&hl=de&rclk=1,2026-05-13T20:16:29Z,active,success,
0x479e267250688f4d:0x4a681a063998582c,Aperitivo,84028,,4.8,74,Café / Konditorei,48.5362301,12.1544664,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Aperitivo/data=!4m7!3m6!1s0x479e267250688f4d:0x4a681a063998582c!8m2!3d48.5362301!4d12.1544664!16s%2Fg%2F11bv6pw94f!19sChIJTY9oUHImnkcRLFiYOQYaaEo?authuser=0&hl=de&rclk=1,2026-05-13T20:04:24Z,active,success,
0x479e25e0bc8a98eb:0xf3c78c977edd7394,Arena Bistro,84028,,4.1,89,Restaurant,48.541557,12.1406296,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Arena+Bistro/data=!4m7!3m6!1s0x479e25e0bc8a98eb:0xf3c78c977edd7394!8m2!3d48.541557!4d12.1406296!16s%2Fg%2F11cs1dwd30!19sChIJ65iKvOAlnkcRlHPdfpeMx_M?authuser=0&hl=de&rclk=1,2026-05-13T20:16:16Z,active,success,
0x479e260041fe2951:0x3bb24003a80ff6c4,Arena Döner,84028,,4.7,618,Döner / Kebab,48.5577188,12.1548486,39,Gewerbepark Nürnberg-Feucht,true,6,10,8,1.28,4.653,Sechs bis zehn Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Arena+D%C3%B6ner/data=!4m7!3m6!1s0x479e260041fe2951:0x3bb24003a80ff6c4!8m2!3d48.5577188!4d12.1548486!16s%2Fg%2F11c6pldfkk!19sChIJUSn-QQAmnkcRxPYPqANAsjs?authuser=0&hl=de&rclk=1,2026-05-13T20:16:10Z,active,success,
0x479e2733b58a26b9:0x1efa602686644fb7,Arena Döner 2,84028,,4.7,56,Döner / Kebab,48.5522169,12.161414,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Arena+D%C3%B6ner+2/data=!4m7!3m6!1s0x479e2733b58a26b9:0x1efa602686644fb7!8m2!3d48.5522169!4d12.161414!16s%2Fg%2F11r7642jk7!19sChIJuSaKtTMnnkcRt09khiZg-h4?authuser=0&hl=de&rclk=1,2026-05-13T20:19:14Z,active,success,
0x479e25e5e9e12359:0x3b6119655b3b605f,Asia Hung Landshut,84028,,3.6,309,Asiatisch,48.547142,12.1362555,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Asia+Hung+Landshut/data=!4m7!3m6!1s0x479e25e5e9e12359:0x3b6119655b3b605f!8m2!3d48.547142!4d12.1362555!16s%2Fg%2F11g98m20cl!19sChIJWSPh6eUlnkcRX2A7W2UZYTs?authuser=0&hl=de&rclk=1,2026-05-13T20:16:42Z,active,success,
0x479e260ceaee2cb7:0xfe3803c51a21be59,Asia Wok Express - Heimservice,84028,,4,127,Asiatisch,48.5406973,12.1538413,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Asia+Wok+Express+-+Heimservice/data=!4m7!3m6!1s0x479e260ceaee2cb7:0xfe3803c51a21be59!8m2!3d48.5406973!4d12.1538413!16s%2Fg%2F11cl_k2d2k!19sChIJtyzu6gwmnkcRWb4hGsUDOP4?authuser=0&hl=de&rclk=1,2026-05-13T20:19:59Z,temporarily_closed,success,
0x479e260cbbe610b7:0x6ac2240483bfe2af,Augustiner Zur Schleuse,84028,,4.5,1159,Restaurant,48.5402978,12.1533168,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Augustiner+Zur+Schleuse/data=!4m7!3m6!1s0x479e260cbbe610b7:0x6ac2240483bfe2af!8m2!3d48.5402978!4d12.1533168!16s%2Fg%2F1tph0qsx!19sChIJtxDmuwwmnkcRr-K_gwQkwmo?authuser=0&hl=de&rclk=1,2026-05-13T20:10:55Z,active,success,
0x479e2673d92b06e9:0xac0e6adb4973be2a,Augustiner an der Sankt Martinskirche,84028,,4.6,3166,Restaurant,48.534704,12.1516433,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Augustiner+an+der+Sankt+Martinskirche/data=!4m7!3m6!1s0x479e2673d92b06e9:0xac0e6adb4973be2a!8m2!3d48.534704!4d12.1516433!16s%2Fg%2F11gzcmff_!19sChIJ6QYr2XMmnkcRKr5zSdtqDqw?authuser=0&hl=de&rclk=1,2026-05-13T20:01:34Z,active,success,
0x479e250017474277:0xe51b42fc5f9811b7,Automatenkramerei,84028,,4.5,11,Lebensmittel,48.5449751,12.1443407,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/Automatenkramerei/data=!4m7!3m6!1s0x479e250017474277:0xe51b42fc5f9811b7!8m2!3d48.5449751!4d12.1443407!16s%2Fg%2F11y5tnkmfm!19sChIJd0JHFwAlnkcRtxGYX_xCG-U?authuser=0&hl=de&rclk=1,2026-05-13T20:18:04Z,active,success,
0x479e26736e3d060d:0xec39c35b88cb7acc,BEY KEBAP Landshut,84028,,3.2,165,Döner / Kebab,48.5376646,12.1519484,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/BEY+KEBAP+Landshut/data=!4m7!3m6!1s0x479e26736e3d060d:0xec39c35b88cb7acc!8m2!3d48.5376646!4d12.1519484!16s%2Fg%2F11ddydd625!19sChIJDQY9bnMmnkcRzHrLiFvDOew?authuser=0&hl=de&rclk=1,2026-05-13T20:13:51Z,active,success,
0x479e2672e4b6105f:0x4217698b8edc1be8,BROTmacher Breu u. Oberprieler GmbH,84028,,4.4,44,Bäckerei,48.53736,12.15456,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/BROTmacher+Breu+u.+Oberprieler+GmbH/data=!4m7!3m6!1s0x479e2672e4b6105f:0x4217698b8edc1be8!8m2!3d48.53736!4d12.15456!16s%2Fg%2F1ptx9q8df!19sChIJXxC25HImnkcR6BvcjotpF0I?authuser=0&hl=de&rclk=1,2026-05-13T20:19:19Z,active,success,
0x479e25da902c266b:0x29c98c6b038df8a,BROTmacher Breu u. Oberprieler GmbH,84028,,4.1,54,Bäckerei,48.5325184,12.1308391,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/BROTmacher+Breu+u.+Oberprieler+GmbH/data=!4m7!3m6!1s0x479e25da902c266b:0x29c98c6b038df8a!8m2!3d48.5325184!4d12.1308391!16s%2Fg%2F1pw3ycyvt!19sChIJayYskNolnkcRit84sMaYnAI?authuser=0&hl=de&rclk=1,2026-05-13T20:26:15Z,active,success,
0x479e25e9831db1b5:0xe86ebd7311b2428a,BROTmacher Breu u. Oberprieler GmbH,84028,,4.1,109,Bäckerei,48.5352463,12.0843889,49,"Kornburg, Worzeldorf",false,,,,,,,https://www.google.com/maps/place/BROTmacher+Breu+u.+Oberprieler+GmbH/data=!4m7!3m6!1s0x479e25e9831db1b5:0xe86ebd7311b2428a!8m2!3d48.5352463!4d12.0843889!16s%2Fg%2F11hmjr7j63!19sChIJtbEdg-klnkcRikKyEXO9bug?authuser=0&hl=de&rclk=1,2026-05-13T20:28:00Z,active,success,
0x479e26713dc8168d:0x9c94d9f6eebeb2f4,BROTmacher Breu u. Oberprieler GmbH,84028,,4.2,68,Bäckerei,48.5355981,12.1517983,39,Gewerbepark Nürnberg-Feucht,false,,,,,,,https://www.google.com/maps/place/BROTmacher+Breu+u.+Oberprieler+GmbH/data=!4m7!3m6!1s0x479e26713dc8168d:0x9c94d9f6eebeb2f4!8m2!3d48.5355981!4d12.1517983!16s%2Fg%2F1ptwcc681!19sChIJjRbIPXEmnkcR9LK-7vbZlJw?authuser=0&hl=de&rclk=1,2026-05-13T20:08:25Z,active,success,
